benchmark,seed,algorithm,best_objective
Sphere,42,Expected Improvement,8.255740534050391e-06
Sphere,42,UCB,5.7440109435630905e-06
Sphere,42,Random Search,4.711749362827561
Sphere,7,Expected Improvement,9.929362763399648e-06
Sphere,7,UCB,1.5359443314974614e-05
Sphere,7,Random Search,0.28826533385308034
Sphere,21,Expected Improvement,0.000647263768729079
Sphere,21,UCB,5.492682224934232e-05
Sphere,21,Random Search,1.6118565618365477
Sphere,100,Expected Improvement,0.0037564430946131462
Sphere,100,UCB,9.118330999576822e-05
Sphere,100,Random Search,1.1224891254043936
Sphere,2026,Expected Improvement,0.0004313821511790575
Sphere,2026,UCB,2.0793346858242238e-05
Sphere,2026,Random Search,0.5439652759184781
Rosenbrock,42,Expected Improvement,0.2845215114684503
Rosenbrock,42,UCB,0.2845215114684503
Rosenbrock,42,Random Search,0.2845215114684503
Rosenbrock,7,Expected Improvement,0.4500014882583074
Rosenbrock,7,UCB,0.38514250113553944
Rosenbrock,7,Random Search,4.673681502416083
Rosenbrock,21,Expected Improvement,0.2342436924424492
Rosenbrock,21,UCB,0.7613420172915654
Rosenbrock,21,Random Search,25.11737108439121
Rosenbrock,100,Expected Improvement,1.3956722075263188
Rosenbrock,100,UCB,0.4532123011958851
Rosenbrock,100,Random Search,0.39549117403563755
Rosenbrock,2026,Expected Improvement,0.0026475889199903957
Rosenbrock,2026,UCB,0.01470352732241695
Rosenbrock,2026,Random Search,4.948268826695353
Rastrigin,42,Expected Improvement,9.43067026709938
Rastrigin,42,UCB,16.184448738511204
Rastrigin,42,Random Search,9.596403092320209
Rastrigin,7,Expected Improvement,8.013449901476328
Rastrigin,7,UCB,9.261016015139765
Rastrigin,7,Random Search,14.329926768000291
Rastrigin,21,Expected Improvement,2.5243406360528517
Rastrigin,21,UCB,10.110672028910715
Rastrigin,21,Random Search,7.337651290279439
Rastrigin,100,Expected Improvement,1.4545353962567127
Rastrigin,100,UCB,4.141435165212307
Rastrigin,100,Random Search,5.809088668039008
Rastrigin,2026,Expected Improvement,4.602513113744209
Rastrigin,2026,UCB,2.1465140225410906
Rastrigin,2026,Random Search,9.349589289494446
